1181, -324, -52
1181, -324, -52
1281, -425, -93
1046, 224, -157
902, 194, -79
1333, -630, 412
1420, -406, 256
1280, 346, -49
-,-,-
741, -71, -205
701, -75, -271
536, 85, -188
334, 207, 118
342, -139, 241
518, -108, 145
518, -108, 145
658, 69, -192
601, 169, -86
545, 51, 124
789, 0, 134
789, 0, 134
1060, 9, 38
1297, -54, -80
1660, -30, -361
1830, 84, -478
1718, 88, -116
1718, 88, -116
1707, -240, -7
1664, -372, -48
-,-,-
734, 151, 50
686, 114, -5
648, 42, -134
589, 94, -189
589, 94, -189
587, 123, -71
580, 38, -1
513, 4, -32
575, -29, -145
575, -29, -145
607, 150, 80
585, 147, 228
646, -66, 286
892, -95, 105
1054, 30, -148
1054, 30, -148
989, 226, 30
1069, -17, 32
1241, -111, -92
1276, 12, -110
1130, 315, 51
1095, 315, 70
1095, 315, 70
1366, 48, -85
1594, -84, -144
1678, -94, -176
-,-,-
798, 241, -36
748, 217, -26
754, 55, -109
767, 31, -132
767, 31, -132
717, 105, 6
630, 138, 151
630, 43, 32
630, 43, 32
733, -111, -188
789, -96, -206
625, 115, 54
475, 125, 190
559, -46, 116
559, -46, 116
747, -14, 123
785, 52, 149
846, -7, 34
1033, -48, -237
1103, 96, -159
1103, 96, -159
986, 192, 142
1031, 33, 128
1244, -78, -45
1405, -55, -115
1425, -63, 22
1421, -102, 53
-,-,-
739, 102, -15
768, 80, -27
715, 120, 48
675, 126, 27
767, 9, -30
767, 9, -30
872, -99, -104
718, 95, -42
609, 60, 42
609, 60, 42
696, 3, 111
776, 53, 157
777, 110, 146
777, 110, 146
903, 25, 18
1084, 93, -56
1086, 230, 8
1095, 163, 90
1095, 163, 90
1370, -190, -107
1514, -51, -189
1474, 30, -141
-,-,-
843, 212, -69
817, 185, -49
787, 125, -24
796, 39, -57
796, 39, -57
772, 44, -61
721, 119, 10
671, 112, -48
674, 11, -135
674, 11, -135
692, -8, -97
666, -50, -67
616, -129, -23
628, -56, -1
639, 127, 116
639, 127, 116
633, 44, 171
661, 18, 73
831, 75, -181
970, 88, -205
970, 88, -205
1037, 45, -35
1072, 41, 62
1149, 127, 63
1206, 109, -51
1206, 109, -51
1266, 76, -84
1438, -44, -88
1641, -142, -185
1653, -105, -202
-,-,-
574, 13, -66
586, 130, -137
612, 27, -159
650, -226, -124
595, -203, -5
595, -203, -5
505, 69, 132
393, 156, 159
389, 30, 103
618, 88, 138
618, 88, 138
782, 243, 79
893, 296, -28
1262, 59, -242
1598, -8, -391
1598, -8, -391
1618, 117, -348
1483, 266, -179
1511, 67, -238
1630, -189, -154
1649, -262, -74
1515, -180, -184
1341, -164, -236
-,-,-
637, -78, 76
775, -96, -230
741, 22, -206
741, 22, -206
448, 236, 286
564, -98, 319
948, -200, -61
1061, 57, -364
1038, 89, -446
958, -14, -257
958, -14, -257
993, -166, 46
948, -45, 487
1011, 74, 327
1328, 75, -116
1701, -223, -399
1693, -148, -193
1601, -87, -16
1985, -394, 76
1985, -394, 76
-,-,-
914, 160, -211
914, 160, -211
865, 186, -76
756, 309, -4
733, 170, -100
823, -10, -227
808, 24, -208
609, 171, -33
609, 171, -33
536, 89, 87
584, -7, 133
